name	2011_location	DBLP_ID	CV_pub_counts
Chitta Baral	Arizona State University	Baral:Chitta	1986:1,1990:5,1991:5,1992:6,1993:4,1994:4,1995:4,1996:2,1997:3,1998:6,2000:8,2001:11,2002:4,2003:2,2004:5,2005:14,2006:6,2007:7,2008:5,2009:7,2010:6,2011:5,2012:7,2013:5,2014:3,2015:10
Karamvir S. Chatha	Arizona State University	Chatha:Karam_S=	1996:2,1998:3,1999:2,2000:1,2001:1,2002:1,2004:9,2005:7,2006:5,2007:12,2008:4,2009:7,2010:8,2011:2
John Byers	Boston University	Byers:John_W=	1994:1,1995:1,1997:2,1999:1,2000:2,2001:1,2002:5,2003:5,2004:6,2005:1,2006:2,2007:1,2008:2,2009:3,2010:3,2011:2,2012:3,2013:1,2014:1,2015:2
Lenore Jennifer Cowen	Tufts University	Cowen:Lenore	1986:1,1994:2,1995:2,1996:1,1997:3,1999:1,2000:2,2001:2,2002:1,2004:3,2005:2,2006:3,2008:3,2009:4,2010:3,2011:1,2012:4,2013:5,2014:1,2015:1
Jason Cong	UCLA	Cong:Jason	1987:1,1988:6,1989:4,1990:3,1991:8,1992:13,1993:15,1994:13,1995:10,1996:14,1997:14,1998:13,1999:16,2000:20,2001:17,2002:9,2003:17,2004:15,2005:17,2006:17,2007:10,2008:18,2009:23,2010:14,2011:24,2012:29,2013:20,2014:16,2015:15,2016:16
Stefano Soatto	UCLA	Soatto:Stefano	1993:1,1994:7,1995:6,1996:4,1997:4,1998:6,1999:3,2000:8,2001:8,2002:14,2003:25,2004:15,2005:12,2006:17,2007:16,2008:14,2009:11
Mark J. Clement	Brigham Young University	Clement:Mark_J=	1993:1,1994:1,1995:4,1996:7,1997:5,1998:6,1999:10,2000:6,2001:14,2002:4,2004:6,2005:2,2006:5,2007:7,2008:5,2009:7,2010:7,2011:4,2012:7,2013:7,2014:7,2015:1
David Wagner	UC Berkeley	Wagner:David	1994:1,1995:2,1996:6,1997:4,1998:4,2000:10,2001:7,2002:11,2003:6,2004:17,2005:14,2006:10,2007:7,2008:9,2009:4,2010:5,2011:11,2012:13,2013:9,2014:3,2015:5,2016:4
Jitendra Malik	UC Berkeley	Malik:Jitendra	1978:1,1980:1,1982:1,1983:2,1984:1,1985:1,1987:3,1988:4,1989:6,1990:4,1991:2,1992:4,1993:2,1994:7,1995:5,1996:9,1997:12,1998:12,1999:8,2000:2,2001:11,2002:5,2003:7,2004:8,2005:8,2006:8,2007:6,2008:6,2009:8,2010:4,2011:11,2012:7,2013:7,2014:9,2015:1
Ken Goldberg	UC Berkeley	Goldberg:Kenneth_Y=	1984:1,1987:1,1988:1,1990:2,1991:3,1992:6,1993:5,1994:8,1995:13,1996:7,1997:9,1998:7,1999:7,2000:2,2001:9,2002:10,2003:10,2004:7,2005:6,2006:9,2007:8,2008:8,2009:8,2010:5,2011:6,2012:7,2013:5,2014:11,2015:22
